index,sentence,label
3981,The dinosaur extinction theory was too valuable to one side of a political argument about nuclear weapons to be decided on its scientific merits .,neutral
4265,"But I do believe that once our borders and ports are secure , any reform of our immigration laws and policies must be rational , humane , and effective , and they must benefit , not burden , American citizens .",neutral
3137,The energy return for energy invested that we have enjoyed with fossil fuels simply can not be achieved with any alternative energy source .,conservative
3803,"Since that federal law expired in September 2004 , `` murder and overall violent-crime rates have actually fallen .",neutral
533,"In other words , just as it is easier to make profits at the expense of disenfranchised external parties than through socially productive behavior , it is often easier for a small group of sellers to make profits by restricting supply than producing the socially efficient amount of their product .",liberal
3178,The proper way to bring the cost of health-care down is to make insurance companies compete nationally and get defensive medicine under control through serious tort reform that includes loser pays provisions .,conservative
1467,"But certainly nobody will complain that a great and rich country like ours should give the insignificant sum of $ 20,000 to relieve its suffering women and children , particularly with a full and overflowing treasury , and I am sure , if you had been there , you would have done just the same as I did .",liberal
2633,"It protested that government health insurance would strip physicians of their autonomy ; Republicans opposed any expansion of the New Deal ; and Southern Democrats joined forces with Republicans , protesting that health insurance would lead to racially integrated hospitals .",conservative
869,"Dipping further into research on `` intuitive toxicology '' -- that is , how ordinary people assess the poisonousness of potentially poisonous things -- I discovered that women consistently worry more about toxicity than men do .",liberal
471,"Moreover , Scowcroft insightfully notes that wars often create more problems than they solve .",liberal
4061,"For example , while the drug companies agreed to make some concessions , the Democrats agreed not to require direct negotiations between Medicare and the industry that could cut drug costs .",neutral
2328,"When private-equity firms began moving to take over German companies , many Germans saw a threat to their competitive model-a widely praised system of stable , innovative enterprises earning normal but not exorbitant profits and rewarding highly productive employees rather than stripping company assets .",conservative
2775,"Jacob Hornberger ; We are a libertarian educational foundation and our mission is to present an uncompromising case for the libertarian philosophy , or individual liberty , free markets , and limited government .",conservative
828,"In response , a conservative state senator named Arthur Ravenel Jr. , who 'd made a name for himself by defending public display of the Confederate flag and mocking his opponents as the `` National Association of Retarded People , '' pushed through legislation that made the school board election partisan , thus introducing a primary process that ensured a one-on-one fight in the final round .",liberal
1561,All it needs to do is : restore the funds taken from it ; stop draining it to enable tax cuts ; start making the wealthy and super-wealthy pay into it by raising the cap and\/or making the super - wealthy millionaires pay into it . '',liberal
1883,"Studies have concluded that industry , in fighting the new rules , exaggerated the cost of complying ; outlays were often half what was predicted , and even in high-polluting sectors such as electric power and automobile manufacturing amounted to a `` relatively low '' 2 percent of production value .",liberal
55,"The men and institutions at the top of the monetary pyramid , the movers and shakers who control financial institutions deemed too large or too well-connected to be allowed to fail ( because they are critical to the operations of the Federal Reserve and other central banks ) , are as well-to-do and powerful as ever .",liberal
3913,"IT 'S THE HEIGHT OF CHUTZPAH for me to envy the mother in Henry Roth 's Call It Sleep -- she 's a bitterly poor im-migrant in a walk-up in Brownsville , New York ; I 've got a babysitter and an apartment on Riverside Drive -- but I felt a twinge of envy anyway when I reread the novel last year .",neutral
1577,"To encourage investment -- and to the silent rage of other European countries -- Ireland became a huge offshore tax haven , with the corporation tax cut from 32 percent to 12.5 percent and with some very rich people , if Dublin journalists are to be believed , effectively paying no taxes at all .",liberal
2675,"The meeting had been scheduled for several days ; but , as luck would have it , the previous night Paul had gone from an oddball obscurity to a major sensation in the political world when , answering a question about September 11 , he seemed to suggest that the attacks were justified by an aggressive U.S. foreign policy in the Middle East .",conservative
