ID,Target,Tweet,Stance
20040,Donald Trump,"#SCOTUS rules they can rule anything they damn well please, regardless of We The People. Welcome to #tyranny.   #USA #SemST",NONE
1283,Feminist Movement,@UN_Women @WomenUndrSiege @OSCE_RFoM It should be considered a hate crime if someone makes a threat against a woman. #SemST,FAVOR
10253,Climate Change is a Real Concern,Eager to learn at the Modern Prosperity event at the @hfxpublib hosted by  @EcologyAction #carbonpricing #jobsjusticeclimate #SemST,FAVOR
926,Climate Change is a Real Concern,It's hot af in #seattle. This is not normal! #hotAF #SemST,FAVOR
20077,Donald Trump,@JonathanHoenig Why arent Americans allowed WEEKLY to vote on Bills that are passed by the elite on behalf of the masses? #SemST,NONE
2322,Legalization of Abortion,RT @GrumpyOldGuy2: #DebbieWashermanSchultz the woman has a voice the doctor has a voice. Who speaks for the baby? I'm just askin. #SemST,AGAINST
613,Atheism,"AtheistQ ""Men never commit evil so fully and joyfully as when they do it for religious convictions.  -Blaise Pascal #SemST",AGAINST
20368,Donald Trump,GRATE TWO SEE @realDonaldTrump GET TUFF ON BOARDER CONTROL!  HAS MY VOTE IN 2016!  #TCOT #ILLEGALSSTOLEJOBS #SemST,FAVOR
236,Atheism,People may leave you but #God will never do #islam #SemST,AGAINST
2292,Hillary Clinton,Since #SNL ain't that funny anymore please @JoeBiden run for president.. if even just for the hilarious debates between you & #SemST,AGAINST
1900,Hillary Clinton,"@FoxNews report shows U.S. State Department cannot locate 15 of Hillary Clinton's Private Emails.  Not so fast, Hillary! #SemST",AGAINST
2641,Legalization of Abortion,"Selfish men everywhere: ""#BirthControlHelpedMe cheat on my wife! But she found out anyway & our marriage was destroyed. #SemST",NONE
20200,Donald Trump,@GinnyQuaglia well the rest of the majority had better get off their asses and get involved in this fight. #SemST,NONE
1965,Hillary Clinton,My mom just told me she and my aunt want to volunteer on @HillaryClinton's campaign! I support it! #SemST,FAVOR
20382,Donald Trump,@realDonaldTrump Favorites and retweets keep piling up for Trump! He's killing the other candidates! #SemST,FAVOR
20282,Donald Trump,"I would vote for @realDonaldTrump if he had a hilariously oversized head, I'm talking 2x size of his body #SemST",AGAINST
1651,Feminist Movement,"@POBREClTA @JustLove_Katie @WillBrianna ""running your dick sucker"" yes because THAT is the purpose of your mouth lol #SemST",AGAINST
151,Atheism,Evidence-based thought just works out better than superstition-based thought.   #freethinker #SemST,FAVOR
810,Climate Change is a Real Concern,Anyone else agree we should switch to concrete? + Them new snazzy self-lit roads in Netherlands! #ElectricitySaving #Autobahn #SemST,FAVOR
10978,Legalization of Abortion,Pray for the Navy yard. God please keep the casualties minimal.   #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,AGAINST
